"LOCATION","Location","PLASTIC_LEAKAGE_TO_OCEAN","Variable","TIME","Time","Value","Flag Codes","Flags"
"OAM","Other OECD America","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2000","2000",0.367424,,
"OAM","Other OECD America","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2001","2001",0.392522,,
"OAM","Other OECD America","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2002","2002",0.418814,,
"OAM","Other OECD America","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2003","2003",0.446297,,
"OAM","Other OECD America","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2004","2004",0.47503,,
"OAM","Other OECD America","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2005","2005",0.504991,,
"OAM","Other OECD America","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2006","2006",0.536216,,
"OAM","Other OECD America","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2007","2007",0.568774,,
"OAM","Other OECD America","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2008","2008",0.602466,,
"OAM","Other OECD America","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2009","2009",0.63729,,
"OAM","Other OECD America","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2010","2010",0.673358,,
"OAM","Other OECD America","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2011","2011",0.710639,,
"OAM","Other OECD America","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2012","2012",0.749066,,
"OAM","Other OECD America","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2013","2013",0.788677,,
"OAM","Other OECD America","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2014","2014",0.829347,,
"OAM","Other OECD America","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2015","2015",0.871376,,
"OAM","Other OECD America","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2016","2016",0.914588,,
"OAM","Other OECD America","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2017","2017",0.958959,,
"OAM","Other OECD America","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2018","2018",1.004589,,
"OAM","Other OECD America","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2019","2019",1.05137,,
"OAM","Other OECD America","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2000","2000",1.177506,,
"OAM","Other OECD America","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2001","2001",1.242541,,
"OAM","Other OECD America","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2002","2002",1.310324,,
"OAM","Other OECD America","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2003","2003",1.380259,,
"OAM","Other OECD America","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2004","2004",1.452918,,
"OAM","Other OECD America","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2005","2005",1.527053,,
"OAM","Other OECD America","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2006","2006",1.603835,,
"OAM","Other OECD America","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2007","2007",1.683287,,
"OAM","Other OECD America","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2008","2008",1.760892,,
"OAM","Other OECD America","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2009","2009",1.839139,,
"OAM","Other OECD America","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2010","2010",1.920844,,
"OAM","Other OECD America","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2011","2011",2.003844,,
"OAM","Other OECD America","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2012","2012",2.087068,,
"OAM","Other OECD America","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2013","2013",2.171596,,
"OAM","Other OECD America","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2014","2014",2.254687,,
"OAM","Other OECD America","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2015","2015",2.344034,,
"OAM","Other OECD America","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2016","2016",2.433459,,
"OAM","Other OECD America","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2017","2017",2.52293,,
"OAM","Other OECD America","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2018","2018",2.615012,,
"OAM","Other OECD America","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2019","2019",2.707171,,
"OAM","Other OECD America","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2000","2000",0.087587,,
"OAM","Other OECD America","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2001","2001",0.090133,,
"OAM","Other OECD America","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2002","2002",0.094066,,
"OAM","Other OECD America","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2003","2003",0.097422,,
"OAM","Other OECD America","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2004","2004",0.101392,,
"OAM","Other OECD America","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2005","2005",0.104091,,
"OAM","Other OECD America","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2006","2006",0.10801,,
"OAM","Other OECD America","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2007","2007",0.112022,,
"OAM","Other OECD America","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2008","2008",0.111255,,
"OAM","Other OECD America","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2009","2009",0.113057,,
"OAM","Other OECD America","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2010","2010",0.117804,,
"OAM","Other OECD America","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2011","2011",0.120261,,
"OAM","Other OECD America","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2012","2012",0.121719,,
"OAM","Other OECD America","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2013","2013",0.124128,,
"OAM","Other OECD America","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2014","2014",0.123762,,
"OAM","Other OECD America","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2015","2015",0.131311,,
"OAM","Other OECD America","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2016","2016",0.132728,,
"OAM","Other OECD America","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2017","2017",0.133769,,
"OAM","Other OECD America","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2018","2018",0.137767,,
"OAM","Other OECD America","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2019","2019",0.138886,,
"OAM","Other OECD America","TRANSPORT_TO_OCEANS","Transport to oceans","2000","2000",0.023975,,
"OAM","Other OECD America","TRANSPORT_TO_OCEANS","Transport to oceans","2001","2001",0.025103,,
"OAM","Other OECD America","TRANSPORT_TO_OCEANS","Transport to oceans","2002","2002",0.026289,,
"OAM","Other OECD America","TRANSPORT_TO_OCEANS","Transport to oceans","2003","2003",0.027488,,
"OAM","Other OECD America","TRANSPORT_TO_OCEANS","Transport to oceans","2004","2004",0.028732,,
"OAM","Other OECD America","TRANSPORT_TO_OCEANS","Transport to oceans","2005","2005",0.029956,,
"OAM","Other OECD America","TRANSPORT_TO_OCEANS","Transport to oceans","2006","2006",0.031232,,
"OAM","Other OECD America","TRANSPORT_TO_OCEANS","Transport to oceans","2007","2007",0.032554,,
"OAM","Other OECD America","TRANSPORT_TO_OCEANS","Transport to oceans","2008","2008",0.03369,,
"OAM","Other OECD America","TRANSPORT_TO_OCEANS","Transport to oceans","2009","2009",0.034827,,
"OAM","Other OECD America","TRANSPORT_TO_OCEANS","Transport to oceans","2010","2010",0.036071,,
"OAM","Other OECD America","TRANSPORT_TO_OCEANS","Transport to oceans","2011","2011",0.037277,,
"OAM","Other OECD America","TRANSPORT_TO_OCEANS","Transport to oceans","2012","2012",0.038432,,
"OAM","Other OECD America","TRANSPORT_TO_OCEANS","Transport to oceans","2013","2013",0.039608,,
"OAM","Other OECD America","TRANSPORT_TO_OCEANS","Transport to oceans","2014","2014",0.040666,,
"OAM","Other OECD America","TRANSPORT_TO_OCEANS","Transport to oceans","2015","2015",0.042026,,
"OAM","Other OECD America","TRANSPORT_TO_OCEANS","Transport to oceans","2016","2016",0.04322,,
"OAM","Other OECD America","TRANSPORT_TO_OCEANS","Transport to oceans","2017","2017",0.044372,,
"OAM","Other OECD America","TRANSPORT_TO_OCEANS","Transport to oceans","2018","2018",0.045626,,
"OAM","Other OECD America","TRANSPORT_TO_OCEANS","Transport to oceans","2019","2019",0.046784,,
"O22","OECD EU ","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2000","2000",1.514796,,
"O22","OECD EU ","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2001","2001",1.606629,,
"O22","OECD EU ","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2002","2002",1.701187,,
"O22","OECD EU ","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2003","2003",1.798247,,
"O22","OECD EU ","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2004","2004",1.897919,,
"O22","OECD EU ","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2005","2005",1.999839,,
"O22","OECD EU ","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2006","2006",2.104144,,
"O22","OECD EU ","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2007","2007",2.210504,,
"O22","OECD EU ","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2008","2008",2.31852,,
"O22","OECD EU ","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2009","2009",2.428026,,
"O22","OECD EU ","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2010","2010",2.538965,,
"O22","OECD EU ","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2011","2011",2.651084,,
"O22","OECD EU ","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2012","2012",2.76422,,
"O22","OECD EU ","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2013","2013",2.877982,,
"O22","OECD EU ","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2014","2014",2.992317,,
"O22","OECD EU ","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2015","2015",3.106861,,
"O22","OECD EU ","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2016","2016",3.221475,,
"O22","OECD EU ","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2017","2017",3.335876,,
"O22","OECD EU ","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2018","2018",3.450031,,
